eth.src,eth.dst,frame.len,time_interval,time_increment,label
1,0,54,0.0,0.0,0
1,0,66,0.018659,0.018659,0
0,1,73,0.000244,0.018903,0
0,1,1288,0.574208,0.593111,0
0,1,1292,7.4e-05,0.593185,0
0,1,295,1.6e-05,0.593201,0
1,0,67,0.002663,0.595864,0
1,0,71,0.000433,0.596297,0
1,0,65,0.0,0.596297,0
1,0,261,0.025069,0.621366,0
1,0,134,0.000313,0.621679,0
0,1,77,2.8e-05,0.621707,0
1,0,66,0.027218,0.648925,0
0,1,73,0.000379,0.649304,0
0,1,235,0.345155,0.994459,0
0,1,228,0.00019,0.994649,0
1,0,71,0.002643,0.997292,0
0,1,236,0.000835,0.998127,0
1,0,71,0.000855,0.998982,0
1,0,71,0.001515,1.000497,0
0,1,74,0.000172,1.000669,0
0,1,229,0.000316,1.000985,0
0,1,230,0.002742,1.003727,0
1,0,71,0.000306,1.004033,0
0,1,75,0.002174,1.006207,0
1,0,71,0.000299,1.006506,0
0,1,233,6.9e-05,1.006575,0
0,1,75,0.002088,1.008663,0
0,1,234,0.000324,1.008987,0
1,0,72,0.00104,1.010027,0
0,1,242,0.001227,1.011254,0
1,0,72,0.000252,1.011506,0
0,1,75,0.001836,1.013342,0
0,1,238,0.000412,1.013754,0
1,0,72,0.000276,1.01403,0
0,1,75,0.002115,1.016145,0
0,1,240,0.000389,1.016534,0
1,0,72,0.000735,1.017269,0
1,0,282,0.00043,1.017699,0
1,0,65,0.0,1.017699,0
0,1,78,0.000171,1.01787,0
1,0,72,0.001152,1.019022,0
0,1,74,0.000163,1.019185,0
0,1,242,0.00049,1.019675,0
1,0,68,0.001383,1.021058,0
1,0,72,0.001543,1.022601,0
0,1,244,2.5e-05,1.022626,0
0,1,75,0.0018,1.024426,0
0,1,247,0.000319,1.024745,0
1,0,72,0.00034,1.025085,0
0,1,75,0.001383,1.026468,0
0,1,249,0.000282,1.02675,0
1,0,72,0.000791,1.027541,0
0,1,75,0.001206,1.028747,0
0,1,250,0.000306,1.029053,0
1,0,72,0.000793,1.029846,0
0,1,75,0.001225,1.031071,0
0,1,252,0.00038,1.031451,0
1,0,72,0.000638,1.032089,0
0,1,75,0.001149,1.033238,0
0,1,254,0.000309,1.033547,0
1,0,72,0.000636,1.034183,0
0,1,75,0.001224,1.035407,0
0,1,256,0.000292,1.035699,0
1,0,72,0.000355,1.036054,0
0,1,75,0.001709,1.037763,0
0,1,256,0.000427,1.03819,0
1,0,72,0.000772,1.038962,0
0,1,75,0.002103,1.041065,0
1,0,72,7.7e-05,1.041142,0
0,1,265,0.000375,1.041517,0
1,0,72,0.002603,1.04412,0
0,1,267,0.000492,1.044612,0
0,1,261,0.002252,1.046864,0
1,0,72,0.000235,1.047099,0
0,1,75,0.001765,1.048864,0
0,1,262,0.000423,1.049287,0
